timedelta,dst
15 days 01:00:00,-32
15 days 02:00:00,-29
15 days 03:00:00,-25
15 days 04:00:00,-22
15 days 05:00:00,-22
15 days 06:00:00,-23
15 days 07:00:00,-22
15 days 08:00:00,-18
15 days 09:00:00,-15
15 days 10:00:00,-13
15 days 11:00:00,-11
15 days 12:00:00,-9
15 days 13:00:00,-11
15 days 14:00:00,-14
15 days 15:00:00,-17
15 days 16:00:00,-17
15 days 17:00:00,-18
15 days 18:00:00,-21
15 days 19:00:00,-20
15 days 20:00:00,-18
15 days 21:00:00,-16
15 days 22:00:00,-14
15 days 23:00:00,-16
16 days 00:00:00,-18
16 days 01:00:00,-20
16 days 02:00:00,-22
16 days 03:00:00,-23
16 days 04:00:00,-18
16 days 05:00:00,-14
16 days 06:00:00,-12
16 days 07:00:00,-13
16 days 08:00:00,-15
16 days 09:00:00,-10
16 days 10:00:00,-6
16 days 11:00:00,-5
16 days 12:00:00,-3
16 days 13:00:00,-14
16 days 14:00:00,-22
16 days 15:00:00,-28
16 days 16:00:00,-35
16 days 17:00:00,-36
16 days 18:00:00,-32
16 days 19:00:00,-27
16 days 20:00:00,-27
16 days 21:00:00,-29
16 days 22:00:00,-26
16 days 23:00:00,-17
17 days 00:00:00,-12
17 days 01:00:00,-12
17 days 02:00:00,-14
17 days 03:00:00,-12
17 days 04:00:00,-9
17 days 05:00:00,-9
17 days 06:00:00,-10
17 days 07:00:00,-8
17 days 08:00:00,-6
17 days 09:00:00,-5
17 days 10:00:00,-1
17 days 11:00:00,2
17 days 12:00:00,3
17 days 13:00:00,-2
17 days 14:00:00,-7
17 days 15:00:00,-8
17 days 16:00:00,-8
17 days 17:00:00,-7
17 days 18:00:00,-6
17 days 19:00:00,-6
17 days 20:00:00,-2
17 days 21:00:00,8
17 days 22:00:00,24
17 days 23:00:00,20
18 days 00:00:00,22
18 days 01:00:00,12
18 days 02:00:00,9
18 days 03:00:00,18
18 days 04:00:00,7
18 days 05:00:00,8
18 days 06:00:00,7
18 days 07:00:00,19
18 days 08:00:00,21
18 days 09:00:00,17
18 days 10:00:00,12
18 days 11:00:00,10
18 days 12:00:00,7
18 days 13:00:00,5
18 days 14:00:00,1
18 days 15:00:00,3
18 days 16:00:00,5
18 days 17:00:00,10
18 days 18:00:00,9
18 days 19:00:00,4
18 days 20:00:00,4
18 days 21:00:00,4
18 days 22:00:00,5
18 days 23:00:00,5
19 days 00:00:00,8
19 days 01:00:00,4
19 days 02:00:00,-3
19 days 03:00:00,-11
19 days 04:00:00,-15
19 days 05:00:00,-16
19 days 06:00:00,-12
19 days 07:00:00,-9
19 days 08:00:00,-7
19 days 09:00:00,-12
19 days 10:00:00,-12
19 days 11:00:00,-10
19 days 12:00:00,-7
19 days 13:00:00,-3
19 days 14:00:00,-3
19 days 15:00:00,-2
19 days 16:00:00,-2
19 days 17:00:00,-2
19 days 18:00:00,0
19 days 19:00:00,3
19 days 20:00:00,5
19 days 21:00:00,8
19 days 22:00:00,9
19 days 23:00:00,11
20 days 00:00:00,15
20 days 01:00:00,11
20 days 02:00:00,10
20 days 03:00:00,10
20 days 04:00:00,10
20 days 05:00:00,8
20 days 06:00:00,7
20 days 07:00:00,10
20 days 08:00:00,12
20 days 09:00:00,11
20 days 10:00:00,9
20 days 11:00:00,9
20 days 12:00:00,9
20 days 13:00:00,12
20 days 14:00:00,12
20 days 15:00:00,13
20 days 16:00:00,15
20 days 17:00:00,14
20 days 18:00:00,12
20 days 19:00:00,13
20 days 20:00:00,12
20 days 21:00:00,11
20 days 22:00:00,12
20 days 23:00:00,12
21 days 00:00:00,11
21 days 01:00:00,12
21 days 02:00:00,14
21 days 03:00:00,15
21 days 04:00:00,15
21 days 05:00:00,18
21 days 06:00:00,19
21 days 07:00:00,14
21 days 08:00:00,11
21 days 09:00:00,10
21 days 10:00:00,10
21 days 11:00:00,6
21 days 12:00:00,5
21 days 13:00:00,1
21 days 14:00:00,-2
21 days 15:00:00,-3
21 days 16:00:00,-3
21 days 17:00:00,-3
21 days 18:00:00,-6
21 days 19:00:00,-6
21 days 20:00:00,-6
21 days 21:00:00,-5
21 days 22:00:00,-3
21 days 23:00:00,-1
22 days 00:00:00,4
22 days 01:00:00,7
22 days 02:00:00,11
22 days 03:00:00,16
22 days 04:00:00,15
22 days 05:00:00,14
22 days 06:00:00,7
22 days 07:00:00,-7
22 days 08:00:00,-14
22 days 09:00:00,4
22 days 10:00:00,15
22 days 11:00:00,-2
22 days 12:00:00,-5
22 days 13:00:00,-6
22 days 14:00:00,-10
22 days 15:00:00,-20
22 days 16:00:00,-53
22 days 17:00:00,-92
22 days 18:00:00,-106
22 days 19:00:00,-107
22 days 20:00:00,-116
22 days 21:00:00,-115
22 days 22:00:00,-114
22 days 23:00:00,-114
23 days 00:00:00,-107
23 days 01:00:00,-99
23 days 02:00:00,-89
23 days 03:00:00,-86
23 days 04:00:00,-85
23 days 05:00:00,-85
23 days 06:00:00,-76
23 days 07:00:00,-66
23 days 08:00:00,-67
23 days 09:00:00,-60
23 days 10:00:00,-61
23 days 11:00:00,-60
23 days 12:00:00,-58
23 days 13:00:00,-56
23 days 14:00:00,-60
23 days 15:00:00,-61
23 days 16:00:00,-60
23 days 17:00:00,-56
23 days 18:00:00,-54
23 days 19:00:00,-49
23 days 20:00:00,-50
23 days 21:00:00,-50
23 days 22:00:00,-58
23 days 23:00:00,-57
24 days 00:00:00,-55
24 days 01:00:00,-52
24 days 02:00:00,-55
24 days 03:00:00,-58
24 days 04:00:00,-60
24 days 05:00:00,-60
24 days 06:00:00,-62
24 days 07:00:00,-62
24 days 08:00:00,-53
24 days 09:00:00,-44
24 days 10:00:00,-39
24 days 11:00:00,-38
24 days 12:00:00,-41
24 days 13:00:00,-39
24 days 14:00:00,-39
24 days 15:00:00,-40
24 days 16:00:00,-38
24 days 17:00:00,-37
24 days 18:00:00,-36
24 days 19:00:00,-35
24 days 20:00:00,-34
24 days 21:00:00,-33
24 days 22:00:00,-39
24 days 23:00:00,-44
25 days 00:00:00,-45
25 days 01:00:00,-43
25 days 02:00:00,-43
25 days 03:00:00,-43
25 days 04:00:00,-44
25 days 05:00:00,-41
25 days 06:00:00,-42
25 days 07:00:00,-39
25 days 08:00:00,-38
25 days 09:00:00,-40
25 days 10:00:00,-38
25 days 11:00:00,-38
25 days 12:00:00,-35
25 days 13:00:00,-36
25 days 14:00:00,-40
25 days 15:00:00,-44
25 days 16:00:00,-42
25 days 17:00:00,-43
25 days 18:00:00,-39
25 days 19:00:00,-38
25 days 20:00:00,-40
25 days 21:00:00,-41
25 days 22:00:00,-46
25 days 23:00:00,-40
26 days 00:00:00,-37
26 days 01:00:00,-39
26 days 02:00:00,-40
26 days 03:00:00,-42
26 days 04:00:00,-40
26 days 05:00:00,-38
26 days 06:00:00,-38
26 days 07:00:00,-33
26 days 08:00:00,-31
26 days 09:00:00,-31
26 days 10:00:00,-29
26 days 11:00:00,-22
26 days 12:00:00,-21
26 days 13:00:00,-23
26 days 14:00:00,-23
26 days 15:00:00,-24
26 days 16:00:00,-27
26 days 17:00:00,-29
26 days 18:00:00,-35
26 days 19:00:00,-41
26 days 20:00:00,-41
26 days 21:00:00,-42
26 days 22:00:00,-40
26 days 23:00:00,-32
27 days 00:00:00,-35
27 days 01:00:00,-46
27 days 02:00:00,-46
27 days 03:00:00,-49
27 days 04:00:00,-52
27 days 05:00:00,-58
27 days 06:00:00,-53
27 days 07:00:00,-45
27 days 08:00:00,-45
27 days 09:00:00,-48
27 days 10:00:00,-49
27 days 11:00:00,-47
27 days 12:00:00,-48
27 days 13:00:00,-51
27 days 14:00:00,-50
27 days 15:00:00,-43
27 days 16:00:00,-38
27 days 17:00:00,-35
27 days 18:00:00,-34
27 days 19:00:00,-33
27 days 20:00:00,-29
27 days 21:00:00,-28
27 days 22:00:00,-32
27 days 23:00:00,-36
28 days 00:00:00,-43
28 days 01:00:00,-41
28 days 02:00:00,-40
28 days 03:00:00,-44
28 days 04:00:00,-45
28 days 05:00:00,-44
28 days 06:00:00,-39
28 days 07:00:00,-35
28 days 08:00:00,-32
28 days 09:00:00,-30
28 days 10:00:00,-30
28 days 11:00:00,-25
28 days 12:00:00,-26
28 days 13:00:00,-30
28 days 14:00:00,-39
28 days 15:00:00,-39
28 days 16:00:00,-38
28 days 17:00:00,-40
28 days 18:00:00,-40
28 days 19:00:00,-37
28 days 20:00:00,-41
28 days 21:00:00,-36
28 days 22:00:00,-33
28 days 23:00:00,-29
29 days 00:00:00,-26
29 days 01:00:00,-29
29 days 02:00:00,-32
29 days 03:00:00,-35
29 days 04:00:00,-37
29 days 05:00:00,-33
29 days 06:00:00,-30
29 days 07:00:00,-24
29 days 08:00:00,-18
29 days 09:00:00,-14
29 days 10:00:00,-15
29 days 11:00:00,-12
29 days 12:00:00,-11
29 days 13:00:00,-11
29 days 14:00:00,-10
29 days 15:00:00,-10
29 days 16:00:00,-12
29 days 17:00:00,-13
29 days 18:00:00,-15
29 days 19:00:00,-19
29 days 20:00:00,-16
29 days 21:00:00,-16
29 days 22:00:00,-22
29 days 23:00:00,-23
30 days 00:00:00,-22
30 days 01:00:00,-22
30 days 02:00:00,-25
30 days 03:00:00,-28
30 days 04:00:00,-28
30 days 05:00:00,-25
30 days 06:00:00,-21
30 days 07:00:00,-19
30 days 08:00:00,-17
30 days 09:00:00,-15
30 days 10:00:00,-14
30 days 11:00:00,-13
30 days 12:00:00,-13
30 days 13:00:00,-14
30 days 14:00:00,-15
30 days 15:00:00,-16
30 days 16:00:00,-16
30 days 17:00:00,-17
30 days 18:00:00,-16
30 days 19:00:00,-17
30 days 20:00:00,-17
30 days 21:00:00,-18
30 days 22:00:00,-19
30 days 23:00:00,-21
31 days 00:00:00,-23
31 days 01:00:00,-22
31 days 02:00:00,-20
31 days 03:00:00,-20
31 days 04:00:00,-20
31 days 05:00:00,-18
31 days 06:00:00,-16
31 days 07:00:00,-15
31 days 08:00:00,-12
31 days 09:00:00,-12
31 days 10:00:00,-12
31 days 11:00:00,-12
31 days 12:00:00,-11
31 days 13:00:00,-11
31 days 14:00:00,-12
31 days 15:00:00,-12
31 days 16:00:00,-9
31 days 17:00:00,-8
31 days 18:00:00,-5
31 days 19:00:00,-5
31 days 20:00:00,-5
31 days 21:00:00,-3
31 days 22:00:00,0
31 days 23:00:00,-4
32 days 00:00:00,-8
32 days 01:00:00,-13
32 days 02:00:00,-13
32 days 03:00:00,-8
32 days 04:00:00,-5
32 days 05:00:00,-3
32 days 06:00:00,-2
32 days 07:00:00,-7
32 days 08:00:00,-4
32 days 09:00:00,-4
32 days 10:00:00,-12
32 days 11:00:00,-11
32 days 12:00:00,-10
32 days 13:00:00,-11
32 days 14:00:00,-12
32 days 15:00:00,-16
32 days 16:00:00,-15
32 days 17:00:00,-16
32 days 18:00:00,-15
32 days 19:00:00,-16
32 days 20:00:00,-22
32 days 21:00:00,-28
32 days 22:00:00,-32
32 days 23:00:00,-32
33 days 00:00:00,-33
33 days 01:00:00,-35
33 days 02:00:00,-32
33 days 03:00:00,-26
33 days 04:00:00,-15
33 days 05:00:00,-13
33 days 06:00:00,-13
33 days 07:00:00,-12
33 days 08:00:00,-9
33 days 09:00:00,-9
33 days 10:00:00,-19
33 days 11:00:00,-34
33 days 12:00:00,-32
33 days 13:00:00,-46
33 days 14:00:00,-71
33 days 15:00:00,-85
33 days 16:00:00,-82
33 days 17:00:00,-65
33 days 18:00:00,-52
33 days 19:00:00,-68
33 days 20:00:00,-63
33 days 21:00:00,-52
33 days 22:00:00,-50
33 days 23:00:00,-45
34 days 00:00:00,-44
34 days 01:00:00,-42
34 days 02:00:00,-39
34 days 03:00:00,-41
34 days 04:00:00,-36
34 days 05:00:00,-33
34 days 06:00:00,-30
34 days 07:00:00,-33
34 days 08:00:00,-38
34 days 09:00:00,-37
34 days 10:00:00,-37
34 days 11:00:00,-36
34 days 12:00:00,-33
34 days 13:00:00,-32
34 days 14:00:00,-29
34 days 15:00:00,-29
34 days 16:00:00,-34
34 days 17:00:00,-36
34 days 18:00:00,-33
34 days 19:00:00,-32
34 days 20:00:00,-26
34 days 21:00:00,-24
34 days 22:00:00,-25
34 days 23:00:00,-26
35 days 00:00:00,-29
35 days 01:00:00,-31
35 days 02:00:00,-30
35 days 03:00:00,-30
35 days 04:00:00,-23
35 days 05:00:00,-18
35 days 06:00:00,-16
35 days 07:00:00,-15
35 days 08:00:00,-13
35 days 09:00:00,-11
35 days 10:00:00,-12
35 days 11:00:00,-12
35 days 12:00:00,-15
35 days 13:00:00,-19
35 days 14:00:00,-22
35 days 15:00:00,-23
35 days 16:00:00,-21
35 days 17:00:00,-21
35 days 18:00:00,-21
35 days 19:00:00,-20
35 days 20:00:00,-17
35 days 21:00:00,-18
35 days 22:00:00,-19
35 days 23:00:00,-19
36 days 00:00:00,-18
36 days 01:00:00,-19
36 days 02:00:00,-19
36 days 03:00:00,-15
36 days 04:00:00,-12
36 days 05:00:00,-9
36 days 06:00:00,-10
36 days 07:00:00,-9
36 days 08:00:00,-3
36 days 09:00:00,1
36 days 10:00:00,2
36 days 11:00:00,-2
36 days 12:00:00,-5
36 days 13:00:00,-12
36 days 14:00:00,-17
36 days 15:00:00,-15
36 days 16:00:00,-16
36 days 17:00:00,-20
36 days 18:00:00,-21
36 days 19:00:00,-23
36 days 20:00:00,-29
36 days 21:00:00,-31
36 days 22:00:00,-42
36 days 23:00:00,-43
37 days 00:00:00,-42
37 days 01:00:00,-39
37 days 02:00:00,-34
37 days 03:00:00,-25
37 days 04:00:00,-21
37 days 05:00:00,-17
37 days 06:00:00,-14
37 days 07:00:00,-10
37 days 08:00:00,-10
37 days 09:00:00,-15
37 days 10:00:00,-17
37 days 11:00:00,-24
37 days 12:00:00,-26
37 days 13:00:00,-33
37 days 14:00:00,-35
37 days 15:00:00,-52
37 days 16:00:00,-56
37 days 17:00:00,-50
37 days 18:00:00,-44
37 days 19:00:00,-38
37 days 20:00:00,-37
37 days 21:00:00,-33
37 days 22:00:00,-25
37 days 23:00:00,-24
38 days 00:00:00,-21
38 days 01:00:00,-18
38 days 02:00:00,-18
38 days 03:00:00,-15
38 days 04:00:00,-15
38 days 05:00:00,-12
38 days 06:00:00,-11
38 days 07:00:00,-6
38 days 08:00:00,-5
38 days 09:00:00,-4
38 days 10:00:00,-5
38 days 11:00:00,-4
38 days 12:00:00,-11
38 days 13:00:00,-24
38 days 14:00:00,-29
38 days 15:00:00,-24
38 days 16:00:00,-25
38 days 17:00:00,-33
38 days 18:00:00,-36
38 days 19:00:00,-33
38 days 20:00:00,-27
38 days 21:00:00,-28
38 days 22:00:00,-30
38 days 23:00:00,-28
39 days 00:00:00,-36
39 days 01:00:00,-36
39 days 02:00:00,-33
39 days 03:00:00,-27
39 days 04:00:00,-25
39 days 05:00:00,-23
39 days 06:00:00,-20
39 days 07:00:00,-18
39 days 08:00:00,-23
39 days 09:00:00,-21
39 days 10:00:00,-15
39 days 11:00:00,-17
39 days 12:00:00,-22
39 days 13:00:00,-22
39 days 14:00:00,-22
39 days 15:00:00,-23
39 days 16:00:00,-24
39 days 17:00:00,-23
39 days 18:00:00,-25
39 days 19:00:00,-27
39 days 20:00:00,-29
39 days 21:00:00,-31
39 days 22:00:00,-29
39 days 23:00:00,-26
40 days 00:00:00,-21
40 days 01:00:00,-22
40 days 02:00:00,-22
40 days 03:00:00,-16
40 days 04:00:00,-11
40 days 05:00:00,-14
40 days 06:00:00,-17
40 days 07:00:00,-10
40 days 08:00:00,-2
40 days 09:00:00,-3
40 days 10:00:00,-16
40 days 11:00:00,-26
40 days 12:00:00,-30
40 days 13:00:00,-24
40 days 14:00:00,-19
40 days 15:00:00,-16
40 days 16:00:00,-17
40 days 17:00:00,-22
40 days 18:00:00,-23
40 days 19:00:00,-24
40 days 20:00:00,-26
40 days 21:00:00,-29
40 days 22:00:00,-28
40 days 23:00:00,-24
41 days 00:00:00,-31
41 days 01:00:00,-41
41 days 02:00:00,-39
41 days 03:00:00,-27
41 days 04:00:00,-31
41 days 05:00:00,-30
41 days 06:00:00,-26
41 days 07:00:00,-20
41 days 08:00:00,-19
41 days 09:00:00,-19
41 days 10:00:00,-19
41 days 11:00:00,-16
41 days 12:00:00,-16
41 days 13:00:00,-15
41 days 14:00:00,-20
41 days 15:00:00,-25
41 days 16:00:00,-33
41 days 17:00:00,-43
41 days 18:00:00,-47
41 days 19:00:00,-54
41 days 20:00:00,-51
41 days 21:00:00,-48
41 days 22:00:00,-44
41 days 23:00:00,-41
42 days 00:00:00,-35
42 days 01:00:00,-30
42 days 02:00:00,-25
42 days 03:00:00,-21
42 days 04:00:00,-18
42 days 05:00:00,-20
42 days 06:00:00,-26
42 days 07:00:00,-29
42 days 08:00:00,-32
42 days 09:00:00,-34
42 days 10:00:00,-32
42 days 11:00:00,-28
42 days 12:00:00,-27
42 days 13:00:00,-27
42 days 14:00:00,-29
42 days 15:00:00,-32
42 days 16:00:00,-33
42 days 17:00:00,-32
42 days 18:00:00,-33
42 days 19:00:00,-35
42 days 20:00:00,-36
42 days 21:00:00,-37
42 days 22:00:00,-37
42 days 23:00:00,-31
43 days 00:00:00,-28
43 days 01:00:00,-28
43 days 02:00:00,-20
43 days 03:00:00,-15
43 days 04:00:00,-23
43 days 05:00:00,-35
43 days 06:00:00,-35
43 days 07:00:00,-17
43 days 08:00:00,-10
43 days 09:00:00,-15
43 days 10:00:00,-21
43 days 11:00:00,-20
43 days 12:00:00,-17
43 days 13:00:00,-11
43 days 14:00:00,-11
43 days 15:00:00,-11
43 days 16:00:00,-14
43 days 17:00:00,-16
43 days 18:00:00,-13
43 days 19:00:00,-11
43 days 20:00:00,-12
43 days 21:00:00,-16
43 days 22:00:00,-16
43 days 23:00:00,-14
44 days 00:00:00,-10
44 days 01:00:00,-10
44 days 02:00:00,-8
44 days 03:00:00,-9
44 days 04:00:00,-13
44 days 05:00:00,-16
44 days 06:00:00,-13
44 days 07:00:00,-13
44 days 08:00:00,-12
44 days 09:00:00,-13
44 days 10:00:00,-13
44 days 11:00:00,-9
44 days 12:00:00,-6
44 days 13:00:00,-5
44 days 14:00:00,-4
44 days 15:00:00,-3
44 days 16:00:00,0
44 days 17:00:00,1
44 days 18:00:00,0
44 days 19:00:00,1
44 days 20:00:00,4
44 days 21:00:00,3
44 days 22:00:00,1
44 days 23:00:00,1
45 days 00:00:00,0
45 days 01:00:00,-2
45 days 02:00:00,-4
45 days 03:00:00,-3
45 days 04:00:00,-4
45 days 05:00:00,-5
45 days 06:00:00,-5
45 days 07:00:00,-3
